寿命,主要物质组成,坝体高度,0,洪峰流量,0.1
-2.0,2.0,1.0,2.0,2.949390006644913,5.898780013289826
-1.0969100130080565,1.0,0.8450980400142568,1.6901960800285136,3.838849090737255,7.67769818147451
-0.3979400086720376,0.0,1.3010299956639813,2.6020599913279625,2.9912260756924947,5.982452151384989
0.0,1.0,1.7781512503836436,3.5563025007672873,2.361727836017593,4.723455672035186
0.6989700043360189,1.0,2.278753600952829,4.557507201905658,2.7634279935629373,5.526855987125875
1.0,2.0,1.6989700043360187,3.3979400086720375,2.6020599913279625,5.204119982655925
1.3010299956639813,2.0,2.0,4.0,3.278753600952829,6.557507201905658
1.462397997898956,2.0,1.9138138523837167,3.8276277047674334,3.8129133566428557,7.625826713285711
1.5440680443502757,0.0,1.0,2.0,2.6989700043360187,5.3979400086720375
1.8325089127062364,2.0,1.6020599913279623,3.2041199826559246,1.9344984512435677,3.8689969024871353
2.5211380837040362,0.0,1.845098040014257,3.690196080028514,2.3979400086720375,4.795880017344075
3.0633333589517497,1.0,1.6532125137753437,3.3064250275506875,1.863322860120456,3.726645720240912
-2.0,1.0,1.0293837776852097,2.0587675553704154,2.929418925714293,5.858837851428586
-1.6989700043360187,1.0,1.1760912590556813,2.3521825181113627,3.2041199826559246,6.408239965311849
-1.3979400086720375,1.0,1.6434526764861874,3.286905352972375,4.849106019014648,9.698212038029297
-1.3979400086720375,1.0,1.255272505103306,2.510545010206612,3.531478917042255,7.06295783408451
-1.0,1.0,1.0,2.0,2.7634279935629373,5.526855987125875
-0.6989700043360187,1.0,1.3979400086720377,2.7958800173440754,2.8976270912904414,5.795254182580883
-0.6989700043360187,1.0,1.0,2.0,3.5440680443502757,7.088136088700551
-0.5391021572434522,1.0,1.9030899869919435,3.806179973983887,3.380211241711606,6.760422483423212
-0.3979400086720376,1.0,1.3010299956639813,2.6020599913279625,3.041392685158225,6.08278537031645
-0.3979400086720376,1.0,1.3979400086720377,2.7958800173440754,3.0791812460476247,6.158362492095249
-0.1549019599857432,1.0,1.6989700043360187,3.3979400086720375,3.7708520116421442,7.5417040232842885
-0.1549019599857432,1.0,2.041392685158225,4.08278537031645,3.681241237375587,7.362482474751174
0.0,1.0,1.3010299956639813,2.6020599913279625,3.113943352306837,6.227886704613674
0.17609125905568124,1.0,1.8750612633917,3.7501225267834,2.1760912590556813,4.352182518111363
0.47712125471966244,1.0,1.9030899869919435,3.806179973983887,3.7481880270062002,7.4963760540124005
0.5440680443502757,1.0,1.9030899869919435,3.806179973983887,3.7481880270062002,7.4963760540124005
0.7781512503836436,2.0,1.9030899869919435,3.806179973983887,3.3010299956639813,6.6020599913279625
0.7781512503836436,0.0,2.146128035678238,4.292256071356476,2.681241237375587,5.362482474751174
0.7781512503836436,2.0,1.5797835966168101,3.1595671932336202,1.8808135922807914,3.7616271845615827
0.9542425094393249,1.0,2.2430380486862944,4.486076097372589,4.724275869600789,9.448551739201578
1.0,2.0,1.3010299956639813,2.6020599913279625,2.9030899869919438,5.8061799739838875
1.1430148002540952,1.0,2.1760912590556813,4.352182518111363,2.8369567370595505,5.673913474119101
1.2304489213782739,1.0,1.9030899869919435,3.806179973983887,3.3010299956639813,6.6020599913279625
1.2787536009528289,1.0,1.8129133566428555,3.625826713285711,3.568201724066995,7.13640344813399
1.3424226808222062,1.0,1.845098040014257,3.690196080028514,1.9637878273455553,3.9275756546911107
1.3424226808222062,1.0,1.9030899869919435,3.806179973983887,2.230448921378274,4.460897842756548
1.380211241711606,0.0,1.7634279935629373,3.5268559871258747,2.845098040014257,5.690196080028514
1.3979400086720377,2.0,1.7558748556724915,3.511749711344983,3.0,6.0
1.4771212547196624,2.0,1.845098040014257,3.690196080028514,2.6020599913279625,5.204119982655925
1.4913616938342726,2.0,1.845098040014257,3.690196080028514,3.59659709562646,7.19319419125292
1.5185139398778875,2.0,2.0,4.0,4.0,8.0
1.5185139398778875,0.0,2.0492180226701815,4.098436045340363,3.916453948549925,7.83290789709985
1.6232492903979006,1.0,2.2041199826559246,4.408239965311849,4.0,8.0
1.7708520116421442,1.0,1.3010299956639813,2.6020599913279625,2.1958996524092336,4.391799304818467
1.7993405494535817,1.0,0.9542425094393249,1.9084850188786497,2.6532125137753435,5.306425027550687
1.8260748027008264,1.0,1.7781512503836436,3.5563025007672873,2.8750612633917,5.7501225267834
1.863322860120456,2.0,2.123851640967086,4.247703281934172,4.549003262025788,9.098006524051575
2.041392685158225,1.0,1.7323937598229686,3.4647875196459372,2.7075701760979363,5.4151403521958725
2.322219294733919,2.0,1.7075701760979363,3.4151403521958725,2.7481880270062002,5.4963760540124005
2.4771212547196626,2.0,2.041392685158225,4.08278537031645,3.838849090737255,7.67769818147451
2.5289167002776547,2.0,2.437750562820388,4.875501125640776,4.753199914199416,9.506399828398832
2.5440680443502757,1.0,1.7781512503836436,3.5563025007672873,3.255272505103306,6.510545010206612
2.6893088591236203,2.0,2.3010299956639813,4.6020599913279625,3.9030899869919438,7.8061799739838875
2.808885867359812,1.0,0.6532125137753437,1.3064250275506875,2.678518379040114,5.357036758080228
3.1986570869544226,1.0,2.113943352306837,4.227886704613674,3.7403626894942437,7.480725378988487
3.738384123512156,2.0,1.6020599913279623,3.2041199826559246,3.0,6.0
4.177421057483169,1.0,1.845098040014257,3.690196080028514,2.792391689498254,5.584783378996508
4.681241237375588,2.0,2.0791812460476247,4.158362492095249,3.6954816764901977,7.390963352980395
