寿命,主要物质组成,坝体高度,0.0,洪峰流量,0.0
0.01,10.0,10.7,114.48999999999998,850.0,722500.0
0.02,10.0,15.0,225.0,1600.0,2560000.0
0.04,10.0,44.0,1936.0,70649.0,4991281201.0
0.04,10.0,18.0,324.0,3400.0,11560000.0
0.1,10.0,10.0,100.0,580.0,336400.0
0.2,10.0,25.0,625.0,790.0,624100.0
0.2,10.0,10.0,100.0,3500.0,12250000.0
0.289,10.0,80.0,6400.0,2400.0,5760000.0
0.4,10.0,20.0,400.0,1100.0,1210000.0
0.4,10.0,25.0,625.0,1200.0,1440000.0
0.7,10.0,50.0,2500.0,5900.0,34810000.0
0.7,10.0,110.0,12100.0,4800.0,23040000.0
1.0,10.0,20.0,400.0,1300.0,1690000.0
1.5,10.0,75.0,5625.0,150.0,22500.0
3.0,10.0,80.0,6400.0,5600.0,31360000.0
3.5,10.0,80.0,6400.0,5600.0,31360000.0
6.0,100.0,80.0,6400.0,2000.0,4000000.0
6.0,1.0,140.0,19600.0,480.0,230400.0
6.0,100.0,38.0,1444.0,76.0,5776.0
9.0,10.0,175.0,30625.0,53000.0,2809000000.0
10.0,100.0,20.0,400.0,800.0,640000.0
13.9,10.0,150.0,22500.0,687.0,471969.0
17.0,10.0,80.0,6400.0,2000.0,4000000.0
19.0,10.0,65.0,4225.0,3700.0,13690000.0
22.0,10.0,70.0,4900.0,92.0,8464.0
22.0,10.0,80.0,6400.0,170.0,28900.0
24.0,1.0,58.0,3364.0,700.0,490000.0
25.0,100.0,57.0,3249.0,1000.0,1000000.0
30.0,100.0,70.0,4900.0,400.0,160000.0
31.0,100.0,70.0,4900.0,3950.0,15602500.0
33.0,100.0,100.0,10000.0,10000.0,100000000.0
33.0,1.0,112.0,12544.0,8250.0,68062500.0
42.0,10.0,160.0,25600.0,10000.0,100000000.0
59.0,10.0,20.0,400.0,157.0,24649.0
63.0,10.0,9.0,81.0,450.0,202500.0
67.0,10.0,60.0,3600.0,750.0,562500.0
73.0,100.0,133.0,17689.0,35400.0,1253160000.0
110.0,10.0,54.0,2916.0,510.0,260100.0
210.0,100.0,51.0,2601.0,560.0,313600.0
300.0,100.0,110.0,12100.0,6900.0,47610000.0
338.0,100.0,274.0,75076.0,56650.0,3209222500.0
350.0,10.0,60.0,3600.0,1800.0,3240000.0
489.0,100.0,200.0,40000.0,8000.0,64000000.0
644.0,10.0,4.5,20.25,477.0,227529.0
1580.0,10.0,130.0,16900.0,5500.0,30250000.0
5475.0,100.0,40.0,1600.0,1000.0,1000000.0
15046.0,10.0,70.0,4900.0,620.0,384400.0
48000.0,100.0,120.0,14400.0,4960.0,24601600.0
