寿命,主要物质组成,坝体长度,0,年平均流量,0
0.02,10,130,16900,11,121
0.04,10,370,136900,30.13,907.8169
0.04,10,100,10000,30,900
0.08,100,300,90000,160,25600
0.08,100,300,90000,160,25600
0.1,10,150,22500,69,4761
0.2,1,120,14400,1581,2499561
0.2,10,130,16900,30,900
0.289,10,100,10000,20,400
0.4,10,200,40000,8,64
0.4,1,200,40000,7,49
0.4,10,120,14400,8,64
0.7,10,200,40000,56,3136
1,10,250,62500,2,4
1,10,200,40000,9,81
1.5,10,350,122500,1,1
2.6,100,575,330625,1860,3459600
3,10,250,62500,388,150544
3,10,652,425104,3867,14953689
3,10,850,722500,3867,14953689
5,10,600,360000,4,16
6,100,110,12100,3,9
6,1,400,160000,3,9
9,10,200,40000,290,84100
10,100,400,160000,152,23104
10,10,400,160000,1,1
10,100,500,250000,572,327184
13,10,105,11025,9,81
17,10,300,90000,16,256
19,10,1000,1000000,100,10000
20,100,900,810000,40,1600
22,10,200,40000,1,1
22,10,300,90000,1,1
23,100,390,152100,0.8,0.64
23,1,100,10000,8.4,70.56
23,100,90,8100,1.3,1.69
27,100,160,25600,8.4,70.56
27.87,100,120,14400,13.9,193.21
29,100,611.8,374299.24,92.3,8519.29
30,100,75,5625,20,400
33,100,300,90000,71,5041
37,100,200,40000,7,49
42,10,1000,1000000,150,22500
45,1,750,562500,72.7,5285.29
67,10,300,90000,3,9
68,100,100,10000,1,1
73,100,250,62500,51,2601
84,10,550,302500,5,25
272,10,500,250000,1,1
315,10,421,177241,1187,1408969
315,10,500,250000,58.8,3457.44
332,1,170,28900,13.4,179.56
1157,10,250,62500,9,81
15046,10,700,490000,10,100
0.01,100,80,6400,4,16
0.08,10,100,10000,83,6889
0.2,10,160,25600,6,36
0.7,10,180,32400,70,4900
1.8,100,274,75076,428,183184
3.5,10,250,62500,70,4900
10,1,580,336400,1860,3459600
13.9,10,600,360000,2,4
22,100,40,1600,9,81
25,100,200,40000,6,36
31,100,120,14400,15,225
59,10,620,384400,1,1
110,10,250,62500,3,9
350,10,250,62500,30,900
