寿命,主要物质组成,坝体体积,坝体高度,坝体长度,0.0,0.0,0.0,0.0,0.0,0.0,集水区面积,0.0
0.01,10.0,0.07,10.7,100.0,0.004900000000000001,0.749,7.000000000000001,114.48999999999998,1070.0,10000.0,11.0,121.0
0.1,10.0,0.15,10.0,150.0,0.0225,1.5,22.5,100.0,1500.0,22500.0,642.0,412164.0
0.4,10.0,0.63,25.0,200.0,0.39690000000000003,15.75,126.0,625.0,5000.0,40000.0,72.0,5184.0
1.0,10.0,0.1,20.0,200.0,0.010000000000000002,2.0,20.0,400.0,4000.0,40000.0,83.0,6889.0
1.5,10.0,1.1,75.0,350.0,1.2100000000000002,82.5,385.00000000000006,5625.0,26250.0,122500.0,7.0,49.0
6.0,100.0,0.96,38.0,110.0,0.9216,36.48,105.6,1444.0,4180.0,12100.0,38.0,1444.0
13.9,10.0,0.4,150.0,600.0,0.16000000000000003,60.0,240.0,22500.0,90000.0,360000.0,79.0,6241.0
22.0,10.0,2.6,70.0,200.0,6.760000000000001,182.0,520.0,4900.0,14000.0,40000.0,3.2,10.240000000000002
23.0,100.0,0.2,40.0,90.0,0.04000000000000001,8.0,18.0,1600.0,3600.0,8100.0,53.0,2809.0
31.0,100.0,21.0,90.0,400.0,441.0,1890.0,8400.0,8100.0,36000.0,160000.0,43.0,1849.0
68.0,100.0,0.4,40.0,100.0,0.16000000000000003,16.0,40.0,1600.0,4000.0,10000.0,3.1,9.610000000000001
350.0,10.0,1.9,60.0,250.0,3.61,114.0,475.0,3600.0,15000.0,62500.0,360.0,129600.0
