寿命,触发因素,坝体体积,坝体高度,坝体长度,0.0,0.0,0.0,0.0,0.0,0.0,年平均流量,0.0
0.02,10.0,0.094,15.0,130.0,0.008836,1.41,12.22,225.0,1950.0,16900.0,11.0,121.0
0.04,10.0,15.4,44.0,370.0,237.16000000000003,677.6,5698.0,1936.0,16280.0,136900.0,30.13,907.8168999999999
0.04,10.0,0.41,18.0,100.0,0.16809999999999997,7.38,41.0,324.0,1800.0,10000.0,30.0,900.0
0.08,10.0,0.72,8.0,300.0,0.5184,5.76,216.0,64.0,2400.0,90000.0,160.0,25600.0
0.08,10.0,0.48,8.0,300.0,0.2304,3.84,144.0,64.0,2400.0,90000.0,160.0,25600.0
0.1,10.0,0.15,10.0,150.0,0.0225,1.5,22.5,100.0,1500.0,22500.0,69.0,4761.0
0.2,10.0,0.23,10.0,130.0,0.0529,2.3000000000000003,29.900000000000002,100.0,1300.0,16900.0,30.0,900.0
0.2,10.0,0.45,25.0,160.0,0.2025,11.25,72.0,625.0,4000.0,25600.0,6.0,36.0
0.289,10.0,2.5,80.0,100.0,6.25,200.0,250.0,6400.0,8000.0,10000.0,20.0,400.0
0.4,10.0,0.6,20.0,200.0,0.36,12.0,120.0,400.0,4000.0,40000.0,7.0,49.0
0.4,10.0,0.63,25.0,200.0,0.39690000000000003,15.75,126.0,625.0,5000.0,40000.0,8.0,64.0
0.4,10.0,0.63,20.0,120.0,0.39690000000000003,12.6,75.6,400.0,2400.0,14400.0,8.0,64.0
0.7,10.0,0.85,50.0,180.0,0.7224999999999999,42.5,153.0,2500.0,9000.0,32400.0,70.0,4900.0
1.0,10.0,0.1,20.0,200.0,0.010000000000000002,2.0,20.0,400.0,4000.0,40000.0,9.0,81.0
1.0,10.0,1.1,60.0,250.0,1.2100000000000002,66.0,275.0,3600.0,15000.0,62500.0,2.0,4.0
1.5,10.0,1.1,75.0,350.0,1.2100000000000002,82.5,385.00000000000006,5625.0,26250.0,122500.0,1.0,1.0
2.6,1.0,25.0,61.0,575.0,625.0,1525.0,14375.0,3721.0,35075.0,330625.0,1860.0,3459600.0
3.0,10.0,3.3,80.0,250.0,10.889999999999999,264.0,825.0,6400.0,20000.0,62500.0,388.0,150544.0
3.0,1.0,50.0,80.0,850.0,2500.0,4000.0,42500.0,6400.0,68000.0,722500.0,3867.0,14953689.0
3.0,1.0,30.0,77.0,652.0,900.0,2310.0,19560.0,5929.0,50204.0,425104.0,3867.0,14953689.0
5.0,10.0,10.0,190.0,600.0,100.0,1900.0,6000.0,36100.0,114000.0,360000.0,4.0,16.0
6.0,10.0,3.4,140.0,400.0,11.559999999999999,476.0,1360.0,19600.0,56000.0,160000.0,3.0,9.0
6.0,10.0,0.96,38.0,110.0,0.9216,36.48,105.6,1444.0,4180.0,12100.0,3.0,9.0
9.0,10.0,68.0,175.0,200.0,4624.0,11900.0,13600.0,30625.0,35000.0,40000.0,290.0,84100.0
10.0,10.0,2.6,100.0,400.0,6.760000000000001,260.0,1040.0,10000.0,40000.0,160000.0,1.0,1.0
10.0,100.0,12.0,20.0,500.0,144.0,240.0,6000.0,400.0,10000.0,250000.0,572.0,327184.0
10.0,1.0,30.2,97.0,580.0,912.04,2929.4,17516.0,9409.0,56260.0,336400.0,1860.0,3459600.0
13.0,100.0,0.26,37.0,105.0,0.06760000000000001,9.620000000000001,27.3,1369.0,3885.0,11025.0,9.0,81.0
17.0,10.0,13.0,80.0,300.0,169.0,1040.0,3900.0,6400.0,24000.0,90000.0,16.0,256.0
19.0,100.0,2.0,65.0,1000.0,4.0,130.0,2000.0,4225.0,65000.0,1000000.0,100.0,10000.0
20.0,100.0,20.25,100.0,900.0,410.0625,2025.0,18225.0,10000.0,90000.0,810000.0,40.0,1600.0
22.0,10.0,2.6,70.0,200.0,6.760000000000001,182.0,520.0,4900.0,14000.0,40000.0,1.0,1.0
23.0,100.0,2.0,60.0,390.0,4.0,120.0,780.0,3600.0,23400.0,152100.0,0.8,0.6400000000000001
23.0,100.0,0.2,15.0,100.0,0.04000000000000001,3.0,20.0,225.0,1500.0,10000.0,8.4,70.56
23.0,100.0,0.2,40.0,90.0,0.04000000000000001,8.0,18.0,1600.0,3600.0,8100.0,1.3,1.6900000000000002
25.0,100.0,2.42,57.0,200.0,5.8564,137.94,484.0,3249.0,11400.0,40000.0,6.0,36.0
27.87,100.0,0.15,25.0,120.0,0.0225,3.75,18.0,625.0,3000.0,14400.0,13.9,193.21
29.0,100.0,20.37,82.0,611.8,414.93690000000004,1670.3400000000001,12462.366,6724.0,50167.6,374299.23999999993,92.3,8519.289999999999
30.0,10.0,3.0,70.0,75.0,9.0,210.0,225.0,4900.0,5250.0,5625.0,20.0,400.0
31.0,100.0,2.0,70.0,120.0,4.0,140.0,240.0,4900.0,8400.0,14400.0,15.0,225.0
37.0,10.0,0.6,20.0,200.0,0.36,12.0,120.0,400.0,4000.0,40000.0,7.0,49.0
45.0,100.0,200.0,60.0,750.0,40000.0,12000.0,150000.0,3600.0,45000.0,562500.0,72.7,5285.29
59.0,100.0,12.0,20.0,620.0,144.0,240.0,7440.0,400.0,12400.0,384400.0,1.0,1.0
67.0,10.0,2.6,60.0,300.0,6.760000000000001,156.0,780.0,3600.0,18000.0,90000.0,3.0,9.0
73.0,1.0,3.5,133.0,250.0,12.25,465.5,875.0,17689.0,33250.0,62500.0,51.0,2601.0
110.0,100.0,1.2,54.0,250.0,1.44,64.8,300.0,2916.0,13500.0,62500.0,3.0,9.0
315.0,10.0,0.91,9.0,421.0,0.8281000000000001,8.19,383.11,81.0,3789.0,177241.0,1187.0,1408969.0
315.0,10.0,0.75,15.0,500.0,0.5625,11.25,375.0,225.0,7500.0,250000.0,58.8,3457.4399999999996
579.0,10.0,2.0,50.0,250.0,4.0,100.0,500.0,2500.0,12500.0,62500.0,5.0,25.0
15046.0,100.0,3.8,70.0,700.0,14.44,266.0,2660.0,4900.0,49000.0,490000.0,10.0,100.0
