稳定性,坝体体积,坝体高度,坝体长度,坝体宽度,下游河道坡度
0.0,-0.40823996,1.69897,2.09691,2.09691,0.07918125
0.0,-0.5808707,1.30103,1.69897,2.544068,0.07918125
0.0,1.0,1.60206,2.69897,3.0,0.20411998
0.0,-1.0,1.0,2.0413928,2.1139433,0.041392684
0.0,-1.0,0.9542425,2.0413928,2.20412,0.4913617
0.0,1.5440681,1.69897,2.9344985,3.230449,0.07918125
0.0,-0.52287877,1.0,2.1760912,2.5118833,-0.30103
0.0,-0.69897,0.69897,2.361728,2.6812413,1.1303338
0.0,-0.7447275,1.1760913,1.8750613,2.39794,0.67209786
0.0,-0.82390875,1.09691,1.9542425,2.4149733,0.9912261
0.0,-0.32330638,1.1760913,1.4771212,2.0791812,0.07918125
0.0,-1.60206,0.69897,1.8750613,2.0791812,0.2787536
0.0,-0.30103,1.30103,2.243038,2.39794,0.11394335
0.0,0.30103,1.6334685,2.4771214,2.968483,-0.04575749
0.0,-1.30103,1.0791812,1.90309,1.69897,0.69897
1.0,0.37199092,1.30103,2.6532125,2.69897,-0.69897
1.0,1.7583734,1.5440681,2.1760912,2.8750613,0.07918125
1.0,1.0,1.4771212,2.8750613,3.0,0.14612803
1.0,0.69897,1.4771212,2.4771214,3.1139433,0.44715804
1.0,0.811575,1.4771212,2.60206,3.0791812,0.11394335
1.0,0.39794,1.4771212,2.544068,2.7403626,0.0
1.0,1.1303338,1.60206,2.7781513,3.09691,0.11394335
1.0,1.1760913,1.30103,2.30103,2.6532125,0.30103
1.0,0.17609125,1.60206,1.9542425,2.50515,0.6532125
1.0,0.39794,1.30103,2.0,2.9542425,0.54406804
1.0,1.60206,1.69897,3.0211892,3.2552724,0.0
1.0,-0.4436975,1.1760913,2.1760912,2.20412,0.39794
1.0,-0.2600323,1.30103,2.1760912,2.544068,0.30103
1.0,0.41497335,1.30103,2.39794,2.612784,0.041392684
1.0,1.30103,1.6532125,2.7781513,3.0,-0.04575749
1.0,-0.39794,1.1760913,2.0,2.30103,0.20411998
1.0,1.0,1.5440681,2.7558749,3.146128,0.07918125
